Name,Rk,G,Date,Age,Tm,Venue,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Terry Rozier,15,15,16/11/2018,24-244,BOS,Home,TOR,W (+7),0,19:50,2,6,0.333,0,1,0,0,0,,0,3,3,1,0,0,1,0,4,1.2,-4
Terry Rozier,16,16,17/11/2018,24-245,BOS,Home,UTA,L (-12),0,20:56,2,9,0.222,0,6,0,0,3,0,1,6,7,3,0,0,1,1,4,0.5,4
Terry Rozier,17,17,19/11/2018,24-247,BOS,Away,CHO,L (-5),0,19:27,3,6,0.5,2,4,0.5,0,0,,1,3,4,4,2,0,1,4,8,8.8,6
Terry Rozier,18,18,21/11/2018,24-249,BOS,Home,NYK,L (-8),0,15:52,0,4,0,0,1,0,0,0,,0,1,1,0,0,0,1,1,0,-3.9,-15
Terry Rozier,19,19,23/11/2018,24-251,BOS,Away,ATL,W (+18),0,25:04:00,5,11,0.455,2,4,0.5,0,0,,0,3,3,3,3,0,1,3,12,10.1,8
Terry Rozier,1,1,17/10/2017,23-214,BOS,Away,CLE,L (-3),0,19:32,2,6,0.333,1,3,0.333,4,4,1,0,3,3,2,4,0,0,0,9,11.9,4
Terry Rozier,2,2,18/10/2017,23-215,BOS,Home,MIL,L (-8),0,26:48:00,6,12,0.5,3,5,0.6,0,0,,0,7,7,6,2,0,0,4,15,15.7,-11
Terry Rozier,3,3,20/10/2017,23-217,BOS,Away,PHI,W (+10),0,30:28:00,6,11,0.545,2,6,0.333,0,3,0,1,6,7,2,0,0,2,2,14,8.6,6
Terry Rozier,4,4,24/10/2017,23-221,BOS,Home,NYK,W (+21),0,30:51:00,2,7,0.286,2,4,0.5,2,2,1,0,6,6,6,2,0,1,0,8,10.9,24
Terry Rozier,5,5,26/10/2017,23-223,BOS,Away,MIL,W (+7),0,20:55,2,9,0.222,0,3,0,0,0,,1,6,7,0,2,0,0,0,4,3,1
Terry Rozier,6,6,28/10/2017,23-225,BOS,Away,MIA,W (+6),0,25:15:00,2,9,0.222,0,3,0,0,0,,0,4,4,0,1,0,0,0,4,0.7,-1
Terry Rozier,7,7,30/10/2017,23-227,BOS,Home,SAS,W (+14),0,18:06,5,13,0.385,2,5,0.4,0,0,,2,2,4,0,2,0,0,3,12,7.7,-3
Terry Rozier,8,8,1/11/2017,23-229,BOS,Home,SAC,W (+27),0,18:59,4,9,0.444,2,7,0.286,2,2,1,0,2,2,3,2,0,1,2,12,10.2,6
Terry Rozier,9,9,3/11/2017,23-231,BOS,Away,OKC,W (+7),0,23:05,3,8,0.375,1,5,0.2,0,0,,0,2,2,3,0,0,0,1,7,4.9,-5
Terry Rozier,10,10,5/11/2017,23-233,BOS,Away,ORL,W (+16),0,26:50:00,2,9,0.222,0,3,0,2,2,1,2,5,7,2,0,0,1,1,6,3.4,22
Terry Rozier,11,11,6/11/2017,23-234,BOS,Away,ATL,W (+3),0,21:30,3,8,0.375,2,5,0.4,0,0,,0,5,5,3,0,0,2,1,8,4.8,-12
Terry Rozier,12,12,8/11/2017,23-236,BOS,Home,LAL,W (+11),0,27:43:00,5,12,0.417,2,5,0.4,2,2,1,3,5,8,0,0,1,0,2,14,11.1,0
Terry Rozier,13,13,10/11/2017,23-238,BOS,Home,CHO,W (+3),0,28:36:00,3,12,0.25,2,5,0.4,7,8,0.875,0,7,7,4,2,0,2,3,15,11.1,6
Terry Rozier,14,14,12/11/2017,23-240,BOS,Home,TOR,W (+1),0,28:24:00,6,15,0.4,3,7,0.429,1,1,1,1,5,6,3,1,0,1,1,16,11.8,-2
Terry Rozier,15,15,14/11/2017,23-242,BOS,Away,BRK,W (+7),0,20:51,0,5,0,0,2,0,0,0,,1,1,2,0,0,0,0,0,0,-2.5,-4
Terry Rozier,16,16,16/11/2017,23-244,BOS,Home,GSW,W (+4),0,21:18,1,5,0.2,1,4,0.25,2,3,0.667,1,1,2,2,0,0,2,1,5,1.5,6
Terry Rozier,17,17,18/11/2017,23-246,BOS,Away,ATL,W (+11),0,25:05:00,2,7,0.286,2,5,0.4,0,0,,1,4,5,3,1,0,0,1,6,6.5,11
Terry Rozier,18,18,20/11/2017,23-248,BOS,Away,DAL,W (+8),0,13:41,1,4,0.25,1,3,0.333,0,0,,0,2,2,0,0,0,2,1,3,-1.2,-13
Terry Rozier,19,19,22/11/2017,23-250,BOS,Away,MIA,L (-6),0,18:15,2,8,0.25,2,6,0.333,2,2,1,2,4,6,1,3,0,2,2,8,6.7,1
Aron Baynes,1,1,16/10/2018,31-311,BOS,Home,PHI,W (+18),0,19:14,3,7,0.429,2,4,0.5,0,0,,3,1,4,3,0,0,1,3,8,6.6,8
Aron Baynes,2,2,19/10/2018,31-314,BOS,Away,TOR,L (-12),0,14:34,2,8,0.25,0,2,0,1,2,0.5,4,2,6,0,0,1,1,1,5,2.5,-2
Aron Baynes,3,3,20/10/2018,31-315,BOS,Away,NYK,W (+2),1,11:39,3,5,0.6,1,2,0.5,3,3,1,3,2,5,0,0,0,0,1,10,10,15
Aron Baynes,4,,22/10/2018,31-317,BOS,Home,ORL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Aron Baynes,5,,25/10/2018,31-320,BOS,Away,OKC,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Aron Baynes,6,,27/10/2018,31-322,BOS,Away,DET,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Aron Baynes,7,4,30/10/2018,31-325,BOS,Home,DET,W (+3),0,12:09,3,5,0.6,1,2,0.5,2,2,1,0,5,5,1,0,0,0,4,9,7.3,9
Aron Baynes,8,5,1/11/2018,31-327,BOS,Home,MIL,W (+4),0,15:34,1,5,0.2,1,5,0.2,2,4,0.5,0,3,3,2,0,0,0,1,5,3,-4
Aron Baynes,9,6,3/11/2018,31-329,BOS,Away,IND,L (-1),0,19:21,2,3,0.667,2,3,0.667,0,0,,0,1,1,0,0,0,0,4,6,3.4,3
Aron Baynes,10,7,5/11/2018,31-331,BOS,Away,DEN,L (-8),0,10:33,1,2,0.5,0,1,0,0,0,,0,2,2,1,0,1,0,3,2,1.8,-7
Aron Baynes,11,8,8/11/2018,31-334,BOS,Away,PHO,W (+7),0,7:59,1,6,0.167,0,1,0,2,2,1,4,0,4,0,0,0,1,0,4,2,-11
Aron Baynes,12,9,9/11/2018,31-335,BOS,Away,UTA,L (-8),0,14:55,2,3,0.667,0,1,0,1,1,1,1,1,2,1,0,0,1,1,5,4,3
Aron Baynes,13,10,11/11/2018,31-337,BOS,Away,POR,L (-6),0,8:50,1,1,1,0,0,,0,0,,0,2,2,0,1,0,1,1,2,1.9,-16
Aron Baynes,14,11,14/11/2018,31-340,BOS,Home,CHI,W (+29),0,18:35,3,9,0.333,2,5,0.4,1,1,1,2,9,11,3,1,2,0,1,9,12.1,19
Aron Baynes,15,12,16/11/2018,31-342,BOS,Home,TOR,W (+7),0,17:46,1,3,0.333,0,0,,4,4,1,2,2,4,4,0,1,0,3,6,8.6,12
Aron Baynes,16,13,17/11/2018,31-343,BOS,Home,UTA,L (-12),0,14:21,2,5,0.4,1,1,1,0,0,,3,2,5,1,1,1,1,3,5,5.2,-4
Aron Baynes,17,14,19/11/2018,31-345,BOS,Away,CHO,L (-5),1,7:22,1,4,0.25,0,1,0,0,0,,1,1,2,0,0,1,1,3,2,-0.9,-7
Aron Baynes,18,15,21/11/2018,31-347,BOS,Home,NYK,L (-8),1,11:45,0,2,0,0,2,0,0,0,,0,1,1,1,0,2,0,2,0,0.2,-2
Aron Baynes,19,16,23/11/2018,31-349,BOS,Away,ATL,W (+18),1,23:02,5,7,0.714,1,1,1,5,5,1,3,6,9,4,0,1,2,4,16,16.9,16
Aron Baynes,1,1,17/10/2017,30-312,BOS,Away,CLE,L (-3),0,19:06,2,2,1,0,0,,2,4,0.5,2,3,5,1,0,1,2,5,6,4.3,-14
Aron Baynes,2,2,18/10/2017,30-313,BOS,Home,MIL,L (-8),0,15:58,2,3,0.667,0,0,,0,0,,1,1,2,0,0,0,0,4,4,2.1,-7
Aron Baynes,3,3,20/10/2017,30-315,BOS,Away,PHI,W (+10),1,13:40,5,8,0.625,0,0,,0,1,0,5,3,8,2,0,0,1,5,10,8.8,-3
Aron Baynes,4,4,24/10/2017,30-319,BOS,Home,NYK,W (+21),1,22:16,1,3,0.333,0,0,,1,2,0.5,1,3,4,1,1,1,0,2,3,4.1,10
Aron Baynes,5,5,26/10/2017,30-321,BOS,Away,MIL,W (+7),0,23:40,3,6,0.5,0,0,,6,6,1,0,7,7,1,0,0,2,2,12,9,12
Aron Baynes,6,6,28/10/2017,30-323,BOS,Away,MIA,W (+6),1,24:29:00,2,3,0.667,0,0,,2,2,1,2,3,5,1,1,4,1,2,6,9.7,7
Aron Baynes,7,7,30/10/2017,30-325,BOS,Home,SAS,W (+14),1,16:29,3,6,0.5,0,0,,0,0,,2,3,5,1,1,1,1,1,6,6.3,6
Aron Baynes,8,8,1/11/2017,30-327,BOS,Home,SAC,W (+27),1,22:43,2,6,0.333,0,0,,0,0,,4,5,9,2,0,0,1,2,4,4.5,13
Aron Baynes,9,9,3/11/2017,30-329,BOS,Away,OKC,W (+7),1,20:30,2,7,0.286,0,0,,1,2,0.5,1,5,6,0,0,1,0,2,5,2.6,-7
Aron Baynes,10,10,5/11/2017,30-331,BOS,Away,ORL,W (+16),0,15:41,3,5,0.6,0,0,,0,0,,2,5,7,0,0,0,0,1,6,6.2,10
Aron Baynes,11,11,6/11/2017,30-332,BOS,Away,ATL,W (+3),1,14:37,1,5,0.2,0,1,0,0,0,,0,3,3,0,0,0,0,0,2,-0.2,-6
Aron Baynes,12,12,8/11/2017,30-334,BOS,Home,LAL,W (+11),1,22:53,8,12,0.667,0,0,,5,8,0.625,5,3,8,3,0,0,2,4,21,17.5,-3
Aron Baynes,13,13,10/11/2017,30-336,BOS,Home,CHO,W (+3),1,25:58:00,2,5,0.4,0,0,,0,0,,4,3,7,2,1,3,2,2,4,6.7,-1
Aron Baynes,14,14,12/11/2017,30-338,BOS,Home,TOR,W (+1),1,20:29,1,6,0.167,0,0,,1,2,0.5,4,4,8,1,0,0,0,1,3,3.1,9
Aron Baynes,15,15,14/11/2017,30-340,BOS,Away,BRK,W (+7),0,12:28,0,4,0,0,1,0,0,2,0,1,1,2,1,0,1,1,1,0,-2.6,-4
Aron Baynes,16,16,16/11/2017,30-342,BOS,Home,GSW,W (+4),0,12:12,1,4,0.25,0,0,,2,2,1,0,5,5,1,1,0,1,0,4,3.8,11
Aron Baynes,17,17,18/11/2017,30-344,BOS,Away,ATL,W (+11),0,12:55,1,3,0.333,0,0,,0,0,,2,2,4,0,0,1,3,4,2,-1.6,9
Aron Baynes,18,18,20/11/2017,30-346,BOS,Away,DAL,W (+8),0,13:24,0,1,0,0,0,,0,0,,1,3,4,0,1,0,0,4,0,0.3,1
Aron Baynes,19,19,22/11/2017,30-348,BOS,Away,MIA,L (-6),1,12:11,1,3,0.333,0,0,,0,0,,0,2,2,0,1,0,1,2,2,0.1,-3
Daniel Theis,1,1,16/10/2018,26-195,BOS,Home,PHI,W (+18),0,4:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,3
Daniel Theis,2,,19/10/2018,26-198,BOS,Away,TOR,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Daniel Theis,3,2,20/10/2018,26-199,BOS,Away,NYK,W (+2),0,14:03,1,4,0.25,0,1,0,0,0,,1,0,1,2,0,1,0,3,2,1.2,-5
Daniel Theis,4,3,22/10/2018,26-201,BOS,Home,ORL,L (-3),0,15:04,3,5,0.6,0,0,,1,1,1,2,4,6,1,0,0,2,3,7,4.8,6
Daniel Theis,5,4,25/10/2018,26-204,BOS,Away,OKC,W (+6),0,8:42,2,5,0.4,0,1,0,0,0,,1,0,1,0,0,0,0,2,4,1.2,-1
Daniel Theis,6,5,27/10/2018,26-206,BOS,Away,DET,W (+20),0,19:19,7,9,0.778,2,3,0.667,1,2,0.5,3,5,8,1,0,0,2,4,17,13.8,20
Daniel Theis,7,,30/10/2018,26-209,BOS,Home,DET,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Daniel Theis,8,,1/11/2018,26-211,BOS,Home,MIL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Daniel Theis,9,,3/11/2018,26-213,BOS,Away,IND,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Daniel Theis,10,,5/11/2018,26-215,BOS,Away,DEN,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Daniel Theis,11,,8/11/2018,26-218,BOS,Away,PHO,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Daniel Theis,12,,9/11/2018,26-219,BOS,Away,UTA,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Daniel Theis,13,6,11/11/2018,26-221,BOS,Away,POR,L (-6),0,4:44,0,1,0,0,1,0,0,0,,0,2,2,0,0,0,1,1,0,-1.5,8
Daniel Theis,14,7,14/11/2018,26-224,BOS,Home,CHI,W (+29),0,9:22,1,1,1,0,0,,0,0,,0,1,1,0,1,1,1,2,2,1.9,-3
Daniel Theis,15,,16/11/2018,26-226,BOS,Home,TOR,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Daniel Theis,16,8,17/11/2018,26-227,BOS,Home,UTA,L (-12),0,12:24,3,4,0.75,0,0,,1,4,0.25,2,0,2,0,0,0,0,4,7,4,5
Daniel Theis,17,9,19/11/2018,26-229,BOS,Away,CHO,L (-5),0,15:53,5,6,0.833,0,0,,0,0,,1,1,2,1,0,0,2,2,10,6.7,7
Daniel Theis,18,10,21/11/2018,26-231,BOS,Home,NYK,L (-8),0,3:39,0,2,0,0,0,,0,0,,1,1,2,0,0,1,0,2,0,-0.5,-9
Daniel Theis,19,11,23/11/2018,26-233,BOS,Away,ATL,W (+18),0,15:54,3,4,0.75,1,1,1,0,0,,1,4,5,1,0,1,1,6,7,5.3,+
Daniel Theis,1,,17/10/2017,25-196,BOS,Away,CLE,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Daniel Theis,2,1,18/10/2017,25-197,BOS,Home,MIL,L (-8),0,4:45,2,3,0.667,0,0,,2,2,1,2,0,2,0,0,0,1,1,6,4.7,2
Daniel Theis,3,2,20/10/2017,25-199,BOS,Away,PHI,W (+10),0,10:39,0,1,0,0,1,0,0,0,,1,2,3,1,0,1,1,2,0,0.2,0
Daniel Theis,4,3,24/10/2017,25-203,BOS,Home,NYK,W (+21),0,20:44,4,6,0.667,1,1,1,2,3,0.667,1,4,5,1,0,2,2,4,11,8.4,14
Daniel Theis,5,4,26/10/2017,25-205,BOS,Away,MIL,W (+7),1,18:46,0,1,0,0,0,,0,0,,0,5,5,1,0,1,2,4,0,-1.4,1
Daniel Theis,6,5,28/10/2017,25-207,BOS,Away,MIA,W (+6),0,15:06,4,6,0.667,0,0,,0,0,,3,1,4,0,1,0,1,4,8,6.2,-3
Daniel Theis,7,6,30/10/2017,25-209,BOS,Home,SAS,W (+14),0,13:58,2,3,0.667,0,1,0,2,2,1,3,3,6,0,0,1,2,2,6,5.6,-2
Daniel Theis,8,7,1/11/2017,25-211,BOS,Home,SAC,W (+27),0,18:18,4,7,0.571,0,0,,2,2,1,4,6,10,0,0,1,0,4,10,10.4,11
Daniel Theis,9,8,3/11/2017,25-213,BOS,Away,OKC,W (+7),0,7:28,0,1,0,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-2.2,-1
Daniel Theis,10,9,5/11/2017,25-215,BOS,Away,ORL,W (+16),0,3:01,1,1,1,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,-5
Daniel Theis,11,10,6/11/2017,25-216,BOS,Away,ATL,W (+3),0,13:59,1,1,1,0,0,,1,3,0.333,2,0,2,2,0,0,2,3,3,1.5,-2
Daniel Theis,12,11,8/11/2017,25-218,BOS,Home,LAL,W (+11),0,22:22,3,6,0.5,0,1,0,2,2,1,3,2,5,0,2,3,2,5,8,7.8,14
Daniel Theis,13,12,10/11/2017,25-220,BOS,Home,CHO,W (+3),0,17:19,3,4,0.75,1,2,0.5,0,0,,1,3,4,0,1,1,2,5,7,4.7,4
Daniel Theis,14,13,12/11/2017,25-222,BOS,Home,TOR,W (+1),0,17:17,1,2,0.5,0,0,,0,0,,2,6,8,1,1,2,2,1,2,4.9,-6
Daniel Theis,15,14,14/11/2017,25-224,BOS,Away,BRK,W (+7),0,11:16,1,5,0.2,1,3,0.333,0,0,,1,6,7,0,0,1,0,2,3,2.3,-7
Daniel Theis,16,15,16/11/2017,25-226,BOS,Home,GSW,W (+4),0,2:58,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,-2
Daniel Theis,17,16,18/11/2017,25-228,BOS,Away,ATL,W (+11),0,3:06,0,2,0,0,0,,0,0,,2,1,3,0,0,0,2,0,0,-1.7,-4
Daniel Theis,18,17,20/11/2017,25-230,BOS,Away,DAL,W (+8),0,6:19,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.9,-5
Daniel Theis,19,18,22/11/2017,25-232,BOS,Away,MIA,L (-6),0,9:45,1,1,1,0,0,,1,2,0.5,0,1,1,0,0,0,2,1,3,0.2,-14
Guerschon Yabusele,1,1,16/10/2018,22-303,BOS,Home,PHI,W (+18),0,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2
Guerschon Yabusele,2,,19/10/2018,22-306,BOS,Away,TOR,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Guerschon Yabusele,3,2,20/10/2018,22-307,BOS,Away,NYK,W (+2),0,5:47,1,1,1,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,1
Guerschon Yabusele,4,3,22/10/2018,22-309,BOS,Home,ORL,L (-3),0,2:31,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,2
Guerschon Yabusele,5,,25/10/2018,22-312,BOS,Away,OKC,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
